t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1609183939,302,0.244395,0.017249,0.000779,0.010198,0.011606,0.016584,0.044494,0.044494,0.044494,0.056253,0.021418,0.019702,0.017347,0.016897,calls/second,milliseconds
1609184239,307,0.244395,0.029504,0.000779,0.008705,0.032766,0.032766,0.033300,0.033300,0.033300,0.044494,0.021319,0.019702,0.017347,0.016897,calls/second,milliseconds
1609184539,312,0.382238,0.060677,0.000779,0.066143,0.050516,0.051540,0.051540,0.382238,0.382238,0.382238,0.021224,0.019702,0.017347,0.016897,calls/second,milliseconds
1609184839,317,0.382238,0.026021,0.000779,0.010914,0.024180,0.024528,0.045442,0.045442,0.045442,0.051540,0.021133,0.019702,0.017347,0.016897,calls/second,milliseconds
1609185139,322,0.382238,0.031058,0.000779,0.001618,0.030777,0.032562,0.032562,0.032562,0.033258,0.045442,0.021046,0.019702,0.017347,0.016897,calls/second,milliseconds
1609185439,327,0.382238,0.029731,0.000779,0.004757,0.032167,0.032167,0.032167,0.032167,0.032167,0.032562,0.020962,0.019702,0.017347,0.016897,calls/second,milliseconds
1609185739,332,0.382238,0.027721,0.000779,0.001976,0.029127,0.029127,0.029127,0.029359,0.029359,0.032167,0.020880,0.019702,0.017347,0.016897,calls/second,milliseconds
1609186039,337,0.382238,0.009152,0.000779,0.004825,0.006696,0.010725,0.024914,0.027600,0.027600,0.029127,0.020802,0.019702,0.017347,0.016897,calls/second,milliseconds
1609186339,342,0.382238,0.009357,0.000779,0.008132,0.005792,0.009088,0.033582,0.033582,0.033582,0.033582,0.020727,0.019702,0.017347,0.016897,calls/second,milliseconds
1609186639,347,0.382238,0.033085,0.000779,0.010267,0.029448,0.035511,0.048032,0.048032,0.048032,0.048032,0.020655,0.019702,0.017347,0.016897,calls/second,milliseconds
1609186939,352,0.382238,0.034800,0.000779,0.004049,0.033336,0.034882,0.046200,0.046200,0.046200,0.048032,0.020585,0.019702,0.017347,0.016897,calls/second,milliseconds
1609187239,357,0.382238,0.034241,0.000779,0.000851,0.033701,0.035100,0.035100,0.035840,0.035840,0.046200,0.020517,0.019702,0.017347,0.016897,calls/second,milliseconds
