,dataset,edges,types,bytes,degree,schemex-summarization-ratio,schemexVHI,schemex-compression,instances,schemexschema-computation,schemexupdate,schemexincremental,schemexbatch,schemexspeed-up,schemex:changes,schemex:updates,schemex:change-update-ratio,schemex:change-size-ratio,schemex:update-size-ratio,attribute-summarization-ratio,attributeVHI,attribute-compression,attributeschema-computation,attributeupdate,attributeincremental,attributebatch,attributespeed-up,attribute:changes,attribute:updates,attribute:change-update-ratio,attribute:change-size-ratio,attribute:update-size-ratio,type-summarization-ratio,typeVHI,type-compression,typeschema-computation,typeupdate,typeincremental,typebatch,typespeed-up,type:changes,type:updates,type:change-update-ratio,type:change-size-ratio,type:update-size-ratio
14,DyLDO-core,12176815,0,182489794,4.109489631121534,26.25384978001257,91595377.0,0.5019205457593974,2004954.0,52546.0,277388.0,1333131.0,3312831.0,2.485000348802931,108815.0,744.0,146.06040268456377,0.05427306561646801,0.00974230043997486,156.49037360807577,88356139.0,0.48417030379244114,51369.0,250551.0,1298931.0,3338822.0,2.570438306576716,158480.0,471.0,335.76271186440675,0.07904420749802739,0.024508273493599752,512.6013294699164,85326344.0,0.46756775888519003,63283.0,189765.0,1263702.0,9354047.0,7.40209875429492,157538.0,71.0,2188.027777777778,0.07857437128233366,0.012101585137208113
15,DyLDO-core,9876931,0,154648862,3.580150516547945,30.026206051760536,115462969.5,0.7466137675167632,2304151.0,59213.0,377565.0,1736766.0,3681749.0,2.1198877684155493,302818.0,1233.0,245.39546191247973,0.13142281039740886,0.01606765878704162,176.11347770700638,111793561.0,0.7228864121871132,60220.0,360912.0,1706883.0,3806509.0,2.23009368539027,453410.0,771.0,587.3186528497409,0.1967796381400351,0.03928662420382165,581.56267878176,107896264.0,0.6976854701976404,64893.0,229636.0,1601816.0,11261993.0,7.030765705923777,449409.0,104.0,4280.085714285714,0.19504320680372075,0.01749957933703517
16,DyLDO-core,12726424,0,189734828,4.0452093770367705,30.045017584994138,113199760.0,0.5966208797469698,2306556.0,53475.0,296589.0,1457157.0,3444183.0,2.363632058865311,5633.0,786.0,7.157560355781449,0.002442169190776205,0.010238374364986322,176.97365728900255,109486195.0,0.5770484847410302,53868.0,273054.0,1437224.0,3744912.0,2.6056564599533547,7450.0,391.0,19.005102040816325,0.0032299237477867435,0.02,584.1355731892622,106138168.0,0.5594026627520383,58757.0,219214.0,1411727.0,10850881.0,7.686245995153454,4204.0,40.0,102.53658536585365,0.001822630796737647,0.006753334458889077
17,DyLDO-core,10740731,0,167873938,3.5222795613096123,30.011883842919808,113317801.0,0.6750172322758045,2305723.0,53415.0,304365.0,1450454.0,3282169.0,2.2628563194696283,3301.0,234.0,14.046808510638298,0.001431655060039736,0.0030458042094576128,176.44041424344454,109892809.0,0.6546150659788538,51448.0,310678.0,1446738.0,3665838.0,2.5338644592179094,4480.0,178.0,25.027932960893853,0.0019429914174425983,0.00908070605040302,582.7438921651221,106582613.0,0.634896722325058,53215.0,202741.0,1330091.0,10746528.0,8.079543429735258,1811.0,36.0,48.945945945945944,0.0007854369323635147,0.006065711878685763
18,DyLDO-core,10529344,0,167374275,3.503679398770508,29.894144906407018,113656238.5,0.679054403671054,2296528.0,57080.0,295830.0,1493570.0,3307988.0,2.2148195263697046,46180.0,503.0,91.62698412698413,0.02010861613705559,0.006547603551066101,175.84446145992854,110012129.0,0.6572821838959422,59357.0,276762.0,1477755.0,3743759.0,2.533409800677379,17340.0,170.0,101.40350877192982,0.007550528449903507,0.008677896886166412,578.6650428355451,106197222.0,0.634489511605054,52295.0,209341.0,1397235.0,9860208.0,7.0569431770604085,63263.0,54.0,1150.2363636363636,0.027547236524004932,0.009071056610112548
19,DyLDO-core,11115703,0,171002569,3.6137417439237702,30.07032798764065,104747642.5,0.6125501102851852,2199434.0,44492.0,272151.0,1295872.0,3122247.0,2.40937916707823,133624.0,3472.0,38.475093579038294,0.0607538121171174,0.047468657287778736,170.7193272962484,101503641.0,0.5935796262803513,42052.0,253327.0,1266330.0,3481800.0,2.749520267228921,148179.0,377.0,392.0079365079365,0.06737142373901649,0.019508408796895214,860.0497914494265,97955685.0,0.5728316572834645,45797.0,184429.0,1241527.0,9370917.0,7.5478962600088435,195422.0,2147.0,90.97858472998138,0.08885104076776117,0.5596976016684045
20,DyLDO-core,9598831,0,136280069,3.423088627197901,23.953970741901777,98012039.0,0.7191956954468521,1833916.0,50307.0,409876.0,1388826.0,3245630.0,2.3369594175224253,368052.0,3210.0,114.62223606353162,0.20069185284385982,0.04192789968652037,141.44043395547328,93652274.0,0.6872044803558178,52823.0,274808.0,1241136.0,3346872.0,2.6966198708280156,551199.0,414.0,1328.190361445783,0.3005584770512935,0.02128644146228598,467.1209033791815,90811806.0,0.6663616086076387,48463.0,167685.0,1142711.0,8004080.0,7.004465696050882,549229.0,2085.0,263.2929050814957,0.2994842729983271,0.3540499235863474
23,DyLDO-core,7548543,0,109961118,3.4423881051643628,21.96568439852022,91158190.5,0.8290038529801051,1721890.0,50936.0,437271.0,1369344.0,3260007.0,2.3807071123107124,72226.0,3752.0,19.244870770050625,0.04194576889348332,0.04786324786324787,118.00237573099415,86709689.0,0.788548630434987,45080.0,236779.0,1137744.0,3635815.0,3.1956353977696215,106862.0,351.0,303.58522727272725,0.0620608749687843,0.016036184210526317,438.88462192013594,83599739.0,0.7602663606966964,45701.0,164588.0,1085540.0,6790733.0,6.255626692705935,103861.0,2099.0,49.45761904761905,0.06031802263791532,0.3566694987255735
24,DyLDO-core,8321936,0,138382905,3.481048915105642,22.081681083977646,90526959.0,0.6541773277559103,1730718.0,50022.0,272246.0,1204896.0,3408749.0,2.8290815140891827,11505.0,771.0,14.902849740932643,0.0066475301002243,0.009836944040419505,118.69951076768324,86939891.0,0.6282560045982558,45936.0,225697.0,1139153.0,3642905.0,3.197906690321669,16786.0,183.0,91.22826086956522,0.009698864864177757,0.008367244296099858,440.6104887983707,83929082.0,0.6064989169001763,50167.0,170245.0,1079557.0,6907369.0,6.398336539895531,13884.0,37.0,365.36842105263156,0.008022104120948647,0.006279701289884589
25,DyLDO-core,8318649,0,138419034,3.4594097407761635,22.163692348008386,87682275.5,0.6334553346182145,1691533.0,50478.0,233779.0,1160289.0,3045732.0,2.6249770531307286,74389.0,2447.0,30.387663398692812,0.04397726795752729,0.03206236897274633,132.18546496483458,84142402.0,0.6078817310630849,47049.0,216278.0,1122692.0,3305777.0,2.944509268793222,60232.0,2838.0,21.215921098978512,0.035607936705934796,0.1478510028653295,430.48863250763486,81578850.0,0.5893615035631589,49555.0,150269.0,1054033.0,6156029.0,5.840451864410317,108114.0,66.0,1613.641791044776,0.06391480390864382,0.011197828299966068
