,dataset,edges,types,bytes,degree,schemex-summarization-ratio,schemexVHI,schemex-compression,instances,schemexschema-computation,schemexupdate,schemexincremental,schemexbatch,schemexspeed-up,schemex:changes,schemex:updates,schemex:change-update-ratio,attribute-summarization-ratio,attributeVHI,attribute-compression,attributeschema-computation,attributeupdate,attributeincremental,attributebatch,attributespeed-up,attribute:changes,attribute:updates,attribute:change-update-ratio,type-summarization-ratio,typeVHI,type-compression,typeschema-computation,typeupdate,typeincremental,typebatch,typespeed-up,type:changes,type:updates,type:change-update-ratio
10,BSBM,6351905,721666,202827668,8.226742623569631,68.301043219076,15045601.0,0.07417923377199209,641620.0,37376.0,258611.0,991777.0,1623865.0,1.6373287543469954,600104.0,452.0,1324.7328918322296,10348.709677419354,13085474.0,0.06451523171878108,35339.0,134928.0,860933.0,888896.0,1.0324798793866654,63074.0,2.0,21024.666666666668,2403.071161048689,12898936.0,0.06359554456840671,31281.0,72797.0,802908.0,833868.0,1.0385598349997758,63074.0,0.0,63074.0
11,BSBM,7019120,801547,224828392,8.19144237058713,43.38110293670578,17869791.0,0.07948191436604679,713489.0,45823.0,3684892.0,4516053.0,2559524.0,0.5667612846882001,691803.0,24770.0,27.92793992975657,11148.265625,14560498.0,0.06476271911423002,40474.0,145016.0,946776.0,985515.0,1.0409167532763821,78963.0,2.0,26321.0,1359.0266666666666,14345029.0,0.06380434816257548,35984.0,85866.0,895645.0,925808.0,1.0336774056685405,91817.0,768.0,119.39791937581275
12,BSBM,7649993,872628,244949788,8.241169148266737,46.14439360627488,18870255.0,0.07703723752559442,776564.0,46389.0,260903.0,1144560.0,2729595.0,2.3848422101069406,721348.0,856.0,841.7129521586932,12133.8125,15819664.0,0.0645832932911132,42650.0,156543.0,1031602.0,1086756.0,1.053464417478834,63083.0,0.0,63083.0,1479.1695238095238,15610520.0,0.06372946932291282,42245.0,88282.0,976033.0,1001489.0,1.026081085373138,63083.0,0.0,63083.0
13,BSBM,8281004,943689,265054801,8.288065431748379,48.95137593283582,20327236.0,0.07669069159777264,839614.0,51097.0,274694.0,1236830.0,2905415.0,2.349081927184819,781531.0,880.0,887.0953461975029,12721.424242424242,17031190.0,0.06425535374475258,47198.0,170567.0,1117441.0,1162853.0,1.040639282073953,63062.0,2.0,21020.666666666668,1596.2243346007604,16794764.0,0.06336336461983196,40421.0,99934.0,1052022.0,1084166.0,1.0305544941075377,63062.0,1.0,31531.0
14,BSBM,8912007,1014780,285171660,8.331867404492833,51.59135851860319,21820835.0,0.07651824518607495,902694.0,53675.0,288322.0,1319961.0,3097530.0,2.3466829701786645,841107.0,937.0,896.7025586353944,13274.911764705883,18283160.0,0.06411282243123317,55279.0,183805.0,1209332.0,1254267.0,1.037156876688949,63098.0,2.0,21032.666666666668,1709.6477272727273,18027796.0,0.06321734775468221,42918.0,108905.0,1126453.0,1167698.0,1.036614932003377,63098.0,2.0,21032.666666666668
15,BSBM,9542609,1085875,305308785,8.373978438951937,54.14115932279404,23258457.0,0.0761801105723178,965770.0,60994.0,308593.0,1417771.0,3410927.0,2.405837755180491,901284.0,1019.0,883.6117647058824,13413.472222222223,19511749.0,0.06390824620392106,50724.0,200838.0,1284655.0,1345430.0,1.0473084213271266,63096.0,4.0,12619.2,1825.6521739130435,19246938.0,0.06304089153543355,48842.0,112627.0,1212199.0,1243601.0,1.0259049875474242,63096.0,1.0,31548.0
16,BSBM,10200532,1161891,326549766,8.387060755740912,47.95097175193655,25911628.0,0.0793497062251761,1033775.0,62523.0,4293051.0,5482264.0,4276179.0,0.7800023858756163,996947.0,21801.0,45.72731859462434,14161.301369863013,20865351.0,0.06389638937913066,58117.0,214449.0,1383291.0,1430056.0,1.0338070586738437,78530.0,5.0,13088.333333333334,1568.7025796661608,20560143.0,0.0629617447038685,52485.0,122645.0,1290638.0,1351720.0,1.0473269809195143,98026.0,590.0,165.86463620981388
17,BSBM,10832314,1232975,346597851,8.427432395583516,50.045581055801435,26731088.0,0.07712421736856066,1096849.0,70473.0,415563.0,1675394.0,4511178.0,2.69260723149301,1021498.0,1326.0,769.7799547852298,14624.653333333334,22090866.0,0.06373630400841694,65038.0,223081.0,1463577.0,1519696.0,1.03834372909659,63090.0,2.0,21030.0,1659.3782148260211,21782878.0,0.06284770069160066,56556.0,130519.0,1379629.0,1416305.0,1.0265839584410013,63090.0,2.0,21030.0
18,BSBM,11463566,1304064,366728270,8.466888588692257,52.244122151157555,28174620.0,0.07682696509870919,1159924.0,70626.0,434798.0,1760403.0,4717824.0,2.6799681663800845,1080950.0,1402.0,770.4561653599429,15262.157894736842,23303474.0,0.06354425307871683,69038.0,232317.0,1546556.0,1604508.0,1.0374716466781675,63087.0,1.0,31543.5,1752.1510574018127,22950219.0,0.06258099218803066,56901.0,132785.0,1446640.0,1508887.0,1.0430286733396008,63087.0,1.0,31543.5
19,BSBM,12095155,1375161,386855088,8.505187605719907,54.17488372093023,29726156.0,0.07684054552230679,1222998.0,78474.0,474140.0,1873781.0,5145885.0,2.7462574334994323,1141300.0,1527.0,746.9240837696335,15480.987341772152,24543776.0,0.06344436653758061,71128.0,249987.0,1634565.0,1707783.0,1.0447935689311836,63100.0,3.0,15775.0,1836.3333333333333,24195596.0,0.0625443396003622,59706.0,145285.0,1525541.0,1593158.0,1.0443232925237669,63100.0,4.0,12620.0
20,BSBM,12726519,1446253,406981790,8.541402569161804,56.21163512391276,31220602.0,0.0767125280961588,1286066.0,78036.0,506633.0,1985063.0,5081021.0,2.5596270748082053,1200846.0,1667.0,719.931654676259,15877.358024691359,25701057.0,0.0631503856720469,91400.0,258269.0,1732535.0,1806848.0,1.0428926399755272,63097.0,4.0,12619.4,1928.134932533733,25263501.0,0.06207526140174478,68034.0,225222.0,1694375.0,1777530.0,1.049077093323497,63097.0,3.0,15774.25
21,BSBM,12095155,1375161,386855088,8.505187605719907,54.17488372093023,29500176.0,0.07625639914034167,1222998.0,76670.0,414355.0,1824610.0,4848154.0,2.657090556338067,1200822.0,1667.0,719.9172661870504,15480.987341772152,24365169.0,0.06298267686219497,73680.0,254909.0,1637985.0,1706478.0,1.041815401239938,63083.0,4.0,12616.6,1836.3333333333333,24038233.0,0.06213756454458213,65960.0,155233.0,1588306.0,1688319.0,1.0629683448907201,63083.0,3.0,15770.75
22,BSBM,11463566,1304064,366728270,8.466888588692257,52.244122151157555,27963783.0,0.07625205168938844,1159924.0,71332.0,374265.0,1709310.0,4657341.0,2.7246906646541587,1141279.0,1527.0,746.9103403141361,15262.157894736842,23235785.0,0.06335967772541778,69485.0,236013.0,1552849.0,1610354.0,1.0370319329181394,63087.0,3.0,15771.75,1752.1510574018127,22912947.0,0.06247935835434776,59025.0,178688.0,1513299.0,1581282.0,1.04492370641889,63087.0,4.0,12617.4
23,BSBM,10832314,1232975,346597851,8.427432395583516,50.045581055801435,26439147.0,0.07628191266540772,1096849.0,68178.0,340241.0,1597193.0,4701679.0,2.943713752815095,1080936.0,1402.0,770.4461867426942,14624.653333333334,21967215.0,0.06337954761294813,60980.0,224727.0,1455013.0,1521066.0,1.0453968452515545,63081.0,1.0,31540.5,1659.3782148260211,21700385.0,0.06260969286852272,57351.0,135979.0,1418166.0,1476237.0,1.0409479567272097,63081.0,1.0,31540.5
24,BSBM,10200532,1161891,326549766,8.387060755740912,47.95097175193655,24950179.0,0.07640544136846816,1033775.0,64021.0,322281.0,1508301.0,4247886.0,2.81633838338634,1021488.0,1326.0,769.7724189902035,14161.301369863013,20745093.0,0.06352812085616377,56427.0,211868.0,1374153.0,1438740.0,1.047001316447295,63082.0,2.0,21027.333333333332,1568.7025796661608,20464122.0,0.06266769763969146,53545.0,132124.0,1342961.0,1396636.0,1.039967653565517,63082.0,2.0,21027.333333333332
25,BSBM,9542609,1085875,305308785,8.373978438951937,54.13812433432367,23827410.0,0.07804364358529677,965770.0,61644.0,3398226.0,4502637.0,3276560.0,0.727698013408587,996938.0,21801.0,45.726905788459774,13413.472222222223,19428908.0,0.06363691107021371,58262.0,198996.0,1288085.0,1343901.0,1.043332544047947,78522.0,5.0,13087.0,1825.6521739130435,19160607.0,0.06275812535168289,49973.0,116949.0,1238651.0,1287167.0,1.0391684178997957,98018.0,590.0,165.85109983079525
26,BSBM,8912007,1014780,285171660,8.331867404492833,51.588410104011885,21653427.0,0.07593120228005826,902694.0,57675.0,260174.0,1293454.0,3143910.0,2.430631472012147,901267.0,1019.0,883.5950980392157,13274.911764705883,18164779.0,0.06369770053588074,51609.0,187031.0,1200494.0,1247824.0,1.039425436528629,63086.0,4.0,12617.2,1709.6477272727273,17905484.0,0.06278844117960389,47032.0,102209.0,1147994.0,1190814.0,1.0372998465148773,63086.0,1.0,31543.0
27,BSBM,8281004,943689,265054801,8.288065431748379,48.95137593283582,20080347.0,0.07575922761723528,839614.0,49222.0,239600.0,1189455.0,3111248.0,2.6156920606496254,841096.0,937.0,896.6908315565032,12721.424242424242,16927123.0,0.06386272927763342,48386.0,174760.0,1128548.0,1176234.0,1.0422542948992866,63089.0,2.0,21029.666666666668,1596.2243346007604,16709938.0,0.06304333268802025,40299.0,108149.0,1081848.0,1127975.0,1.0426372281503502,63089.0,2.0,21029.666666666668
28,BSBM,7649993,872628,244949788,8.241169148266737,46.14439360627488,18511190.0,0.07557136567107378,776564.0,46615.0,224486.0,1131051.0,2787695.0,2.4646943418112888,781520.0,880.0,887.0828603859251,12133.8125,15674280.0,0.06398976756820055,44449.0,160777.0,1091340.0,1071350.0,0.9816830685212674,63056.0,2.0,21018.666666666668,1479.1695238095238,15482092.0,0.06320516595017425,41565.0,100406.0,1042647.0,1031667.0,0.9894691108304153,63056.0,1.0,31528.0
29,BSBM,7019120,801547,224828392,8.19144237058713,43.38110293670578,17016166.0,0.07568512966102608,713489.0,45151.0,202081.0,1013001.0,2623015.0,2.5893508496042945,721342.0,856.0,841.705950991832,11148.265625,14466824.0,0.06434607244800292,38890.0,147236.0,951577.0,985497.0,1.03564609064742,63079.0,0.0,63079.0,1359.0266666666666,14313381.0,0.06366358302291288,30604.0,78622.0,925185.0,955297.0,1.032547004112691,63079.0,0.0,63079.0
30,BSBM,6351905,721666,202827668,8.226742623569631,68.301043219076,15617781.0,0.0770002492953772,641620.0,38573.0,2700617.0,3438338.0,1454696.0,0.42308115141676006,691791.0,24770.0,27.927455492309555,10348.709677419354,13024981.0,0.06421698345415085,32690.0,134046.0,863110.0,890238.0,1.0314305244986155,78956.0,2.0,26318.666666666668,2403.071161048689,12875220.0,0.06347861771994538,28085.0,74994.0,821231.0,855844.0,1.0421477026561345,91811.0,768.0,119.39011703511053
