,dataset,edges,types,bytes,degree,schemex-summarization-ratio,schemexVHI,schemex-compression,instances,schemexschema-computation,schemexupdate,schemexincremental,schemexbatch,schemexspeed-up,schemex:changes,schemex:updates,schemex:change-update-ratio,attribute-summarization-ratio,attributeVHI,attribute-compression,attributeschema-computation,attributeupdate,attributeincremental,attributebatch,attributespeed-up,attribute:changes,attribute:updates,attribute:change-update-ratio,type-summarization-ratio,typeVHI,type-compression,typeschema-computation,typeupdate,typeincremental,typebatch,typespeed-up,type:changes,type:updates,type:change-update-ratio
31,BSBM,5721236,650591,182748437,8.177253708090275,62.84531827069303,13503178.0,0.07388943085734845,578554.0,35488.0,242037.0,1123528.0,1533902.0,1.3652548045086548,600095.0,452.0,1324.7130242825608,9642.566666666668,11810955.0,0.06462958148309635,36156.0,192228.0,1053881.0,1044133.0,0.9907503788378385,63070.0,2.0,21023.333333333332,2166.868913857678,11664625.0,0.06382886328051057,29321.0,148938.0,1062195.0,1073765.0,1.0108925385640113,63070.0,0.0,63070.0
32,BSBM,5090583,579497,162615460,8.124582346138961,57.59463687150838,12040091.0,0.07404026037868724,515472.0,36009.0,213763.0,1013315.0,1399802.0,1.3814085452203906,540856.0,447.0,1207.267857142857,8887.448275862069,10576841.0,0.06504203843841169,28855.0,164412.0,930996.0,960852.0,1.0320688810693064,63087.0,2.0,21029.0,1937.8646616541353,10433590.0,0.06416111973609397,28294.0,133889.0,949011.0,962673.0,1.0143960396665581,63085.0,1.0,31542.5
33,BSBM,4459938,508419,142516687,8.065913536184054,52.34316788152262,10555295.0,0.07406357263974288,452402.0,27885.0,188076.0,891508.0,1243700.0,1.3950519793428662,481093.0,479.0,1002.2770833333333,8225.49090909091,9258655.0,0.06496540998037655,26600.0,141519.0,800803.0,835625.0,1.0434838530824684,63073.0,3.0,15768.25,1700.7593984962407,9158261.0,0.06426097317291694,25686.0,104749.0,804699.0,840845.0,1.044918659026543,63073.0,0.0,63073.0
34,BSBM,3829244,437334,122441687,7.9997242370558785,46.686772994363835,9094980.0,0.07428009383764861,389321.0,21218.0,171127.0,768295.0,1092459.0,1.4219264735550798,421367.0,413.0,1017.7946859903382,7345.679245283019,7971762.0,0.06510660049955046,19257.0,126984.0,697037.0,714419.0,1.0249369832591384,63085.0,2.0,21028.333333333332,1469.1358490566038,7900200.0,0.06452214269148382,20579.0,96876.0,703178.0,713124.0,1.0141443560520949,63085.0,1.0,31542.5
35,BSBM,3198518,366255,102367027,7.922212411190096,40.72487829234802,7636427.0,0.07459850328563318,326247.0,16158.0,140898.0,630886.0,900933.0,1.4280440523327511,361574.0,464.0,777.578494623656,6273.9807692307695,6708317.0,0.06553200963822071,16784.0,106665.0,589228.0,598447.0,1.0156458959859342,63075.0,1.0,31537.5,1231.120754716981,6618255.0,0.06465221462375771,18484.0,76337.0,581232.0,599102.0,1.0307450381259118,63075.0,0.0,63075.0
36,BSBM,2567969,295186,82387202,7.825034623453803,34.57475039411455,6157345.0,0.07473666844517915,263183.0,14412.0,105950.0,502439.0,782201.0,1.5568078911071792,302081.0,526.0,573.2087286527515,5160.450980392156,5384791.0,0.06535955669425453,13406.0,82892.0,464414.0,489984.0,1.055058633030012,63066.0,1.0,31533.0,996.905303030303,5334419.0,0.06474815105384936,13711.0,59827.0,473884.0,484153.0,1.0216698601345477,63065.0,1.0,31532.5
37,BSBM,1936770,224092,62369214,7.686617070126169,28.494730845912844,4679451.0,0.07502821824883027,200090.0,12076.0,90865.0,390346.0,598557.0,1.533401136427682,242203.0,741.0,326.4191374663073,4001.8,4083273.0,0.06546936762743234,10379.0,60763.0,347670.0,365461.0,1.0511720884747031,63094.0,1.0,31547.0,760.7984790874525,4049581.0,0.0649291652128244,11105.0,46788.0,358589.0,356907.0,0.9953093932050342,63094.0,1.0,31547.0
38,BSBM,1288794,148777,41406662,7.6458838221291945,35.406933333333335,3125435.0,0.07548145271888856,132776.0,7195.0,432455.0,633762.0,322832.0,0.5093899602689969,191297.0,10260.0,18.64311470616899,2655.52,2684175.0,0.06482471347243592,6714.0,46271.0,233167.0,242124.0,1.0384145269270524,68703.0,0.0,68703.0,983.5259259259259,2653113.0,0.0640745443329868,6384.0,29422.0,235017.0,243015.0,1.0340315806941625,71288.0,380.0,187.10761154855643
39,BSBM,649327,75978,21023798,7.383288513909122,27.039777247414477,1571330.0,0.07474053926887997,67978.0,3373.0,232013.0,336949.0,162596.0,0.48255373958670306,126799.0,6012.0,21.087477132878764,1359.56,1351219.0,0.06427092764114267,3559.0,21738.0,115981.0,123909.0,1.0683560238314895,65487.0,0.0,65487.0,659.9805825242719,1340346.0,0.06375375181972354,3870.0,18603.0,120452.0,122673.0,1.0184388802178461,66798.0,224.0,296.88
40,BSBM,67622,7928,2211932,6.5741784950417985,19.033766233766233,158478.0,0.07164686798690013,7328.0,387.0,28212.0,38836.0,14895.0,0.3835358945308477,66850.0,2760.0,24.21224194132561,149.55102040816325,135660.0,0.06133099932547655,434.0,2574.0,14573.0,14900.0,1.02243875660468,60718.0,1.0,30359.0,318.60869565217394,131003.0,0.05922560006365476,390.0,1708.0,12788.0,14748.0,1.153268689396309,60850.0,112.0,538.4955752212389
1,DyLDO-core,9653266,1054148,170365210,3.536530681611429,27.988601593176558,100724015.0,0.591224082663356,3228961.0,48639.0,279215.0,1402113.0,3465182.0,2.4713999513591274,213313.0,1300.0,163.9607993850884,163.60767126064044,97752958.0,0.5737847416147933,45175.0,252057.0,1353140.0,3642321.0,2.6917547334348257,209098.0,423.0,493.1556603773585,536.1941215543009,94414041.0,0.5541861569037482,49297.0,190417.0,1288757.0,8621541.0,6.689811190162303,207929.0,155.0,1332.878205128205
