File,|V|,|E|,|Instances|,Avg. Types,SD Types,Avg. Props,SD Props.,Avg. Inc. Props,SD Inc. Props.,Avg. Sources,SD Sources,Unique Types,Unique Props.,Unique Sources
iteration-11.nq.gz,22332,160716,20321,1.3839870085133605,0.879780958725651,7.908862752817282,5.528401305437063,7.908084436352901,5.516541896804042,1.3523448649180652,0.580899779031818,10,10,50
iteration-38.nq.gz,51901,228657,44996,1.3808338518979464,0.8835930946474615,5.0817183749666635,3.5627058787388344,5.083978121664888,3.5645125976178282,1.2358209618632767,0.4781356903784977,10,10,50
iteration-42.nq.gz,54648,224434,47046,1.3790545423627938,0.885404812196905,4.770522467372359,3.3176774730131986,4.773566445465374,3.316661306716098,1.221825447434426,0.46184684104369794,10,10,50
iteration-3.nq.gz,13091,66000,11319,1.3940277409665165,0.8855644673145239,5.830903790087463,5.013087825861805,5.784399649430324,5.011954360838481,1.2613305062284654,0.5085178137172371,10,10,50
iteration-20.nq.gz,33992,204580,30313,1.3897667667337446,0.8846272788358825,6.748919605449807,5.0581614674418764,6.752929526324476,5.062975833892712,1.3076567809190776,0.5463020919710169,10,10,50
iteration-26.nq.gz,40956,228216,36176,1.3892083149049093,0.8838122770342258,6.3084918177797435,4.623051101251848,6.29961078753416,4.636944753384216,1.2936200796107917,0.5313368724500068,10,10,50
iteration-34.nq.gz,48718,234036,42533,1.3864528718877107,0.8805250898447589,5.50245691580655,3.91468810391581,5.497287012895497,3.918559200692488,1.254625819951567,0.4964407294235111,10,10,50
iteration-41.nq.gz,54002,224095,46544,1.3800489859058096,0.8857994299614301,4.814691474733586,3.346851679518156,4.817900371939028,3.3402355621439277,1.2230792368511516,0.4634447437439817,10,10,50
iteration-46.nq.gz,57025,235629,48961,1.376728416494761,0.8836692790504472,4.812585527256387,3.507770262281535,4.813667007150153,3.5139746019295166,1.2254038928943445,0.4677993912572028,10,10,50
iteration-39.nq.gz,52629,226590,45520,1.3795254833040422,0.883769359609584,4.977811950790861,3.472897797808261,4.9818613547919,3.471988268960415,1.2315246045694201,0.47287964895942697,10,10,50
iteration-23.nq.gz,37587,219067,33321,1.3905044866600642,0.8846763532047672,6.574442543741184,4.890314557715431,6.5640019176604545,4.890920160368455,1.3003811410221782,0.5415007362071748,10,10,50
iteration-10.nq.gz,21047,162773,19158,1.3822424052615097,0.8821884967556477,8.496346173922122,5.958810686328044,8.481294289287202,5.952208601591842,1.377231443783276,0.598513502751016,10,10,50
iteration-7.nq.gz,17397,229585,15832,1.3851692774128348,0.8836150190643371,14.50132642748863,12.050209648008433,14.481203481771162,12.03872347002724,1.5898180899444163,0.763222614463264,10,10,50
iteration-45.nq.gz,56471,231934,48497,1.3761675979957524,0.88412015224735,4.7824401509371715,3.4415863627730077,4.784215846036428,3.441758246605573,1.2231478235767161,0.46488536683600756,10,10,50
iteration-1.nq.gz,10997,62614,9933,1.380449008355985,0.879723559115817,6.303634350145978,4.18458431356978,6.290335543500101,4.183347325313916,1.2875264270613107,0.5191223576190047,10,10,50
iteration-6.nq.gz,16253,204952,14620,1.3831737346101232,0.8861860030056097,14.018604651162791,12.25359306733512,14.005193385267185,12.240984905069046,1.566689466484268,0.7596158656517874,10,10,50
